data
2.505
2.888
0.234
0.416
1.518
0.59
0.397
7.568
0.352
2.913
0.81
0.476
0.591
0.516
1.237
0.087
7.23
1.726
2.579
0.134
1.755
0.772
0.96
2.242
0.545
1.463
1.353
0.57
1.348
0.129
3.639
1.299
0.973
0.566
0.615
1.99
0.139
1.52
0.647
0.228
2.034
0.943
7.561
3.036
0.313
0.529
1.495
0.575
2.27
0.22
2.166
1.121
0.345
1.986
1.024
0.221
1.604
0.183
4.437
1.47
2.967
4.31
2.776
4.603
3.478
2.49
0.59
1.473
1.874
4.203
1.679
2.003
0.703
0.235
2.002
0.487
2.124
1.435
0.647
0.755
2.042
3.279
2.189
2.005
4.86
1.167
2.571
3.979
1.064
0.072
0.451
0.892
0.181
0.737
1.409
0.687
1.237
0.613
0.7
0.266
